sheet,row,id,indicator,score,evidence,source,notes
P3 Infrastructure & Data,11,I3.7,Data localisation provisions,,,,
P3 Infrastructure & Data,12,I3.8,Cross-border data flow framework,,,,
P3 Infrastructure & Data,13,I3.9,Foreign AI surveillance spending,,,,
P3 Infrastructure & Data,14,I3.10,Sovereign cloud initiatives,,,,
P4 Human Capital,5,H4.1,AI researchers per million,,,,
P4 Human Capital,6,H4.2,DPA staff with AI competency,,,,
P4 Human Capital,7,H4.3,University AI programs,,,,
P4 Human Capital,8,H4.4,African-authored AI publications,,,,
P4 Human Capital,9,H4.5,AI patents filed,,,,
P4 Human Capital,10,H4.6,K-12 CS education,,,,
P4 Human Capital,11,H4.7,AI workforce training programs,,,,
P4 Human Capital,12,H4.8,Labour transition policy,,,,
P4 Human Capital,13,H4.9,Informal economy AI assessment,,,,
P4 Human Capital,14,H4.10,African language NLP coverage,,,,
P5 Innovation & Ecosystem,5,N5.1,AI companies count,,,,
P5 Innovation & Ecosystem,6,N5.2,Private AI investment (USD),,,,
P5 Innovation & Ecosystem,7,N5.3,AI incubators/accelerators,,,,
P5 Innovation & Ecosystem,8,N5.4,Regulatory sandbox (AI),,,,
P5 Innovation & Ecosystem,9,N5.5,Government AI procurement,,,,
P5 Innovation & Ecosystem,10,N5.6,AI safety evaluation capacity,,,,
P5 Innovation & Ecosystem,11,N5.7,ISO/IEC 42001 adoption,,,,
P5 Innovation & Ecosystem,12,N5.8,Standards body AI competency,,,,
P5 Innovation & Ecosystem,13,N5.9,AI risk assessment frameworks,,,,
P5 Innovation & Ecosystem,14,N5.10,University-industry AI partnerships,,,,
P6 Ethics & Inclusion,5,E6.1,Algorithmic impact assessment,,,,
P6 Ethics & Inclusion,6,E6.2,Bias audit requirements,,,,
P6 Ethics & Inclusion,7,E6.3,Transparency obligations,,,,
P6 Ethics & Inclusion,8,E6.4,Citizen redress mechanism,,,,
P6 Ethics & Inclusion,9,E6.5,Judicial AI remedy,,,,
P6 Ethics & Inclusion,10,E6.6,AI advisory body diversity,,,,
P6 Ethics & Inclusion,11,E6.7,Global AI governance participation,,,,
P6 Ethics & Inclusion,12,E6.8,Civil society AI engagement,,,,
P6 Ethics & Inclusion,13,E6.9,African ethical framework reference,,,,
P6 Ethics & Inclusion,14,E6.10,Youth participation,,,,
P7 Regional Integration,5,R7.1,AU AI Strategy alignment,,,,
P7 Regional Integration,6,R7.2,Kigali Declaration endorsement,,,,
P7 Regional Integration,7,R7.3,REC AI governance coordination,,,,
P7 Regional Integration,8,R7.4,Cross-border AI agreements,,,,
P7 Regional Integration,9,R7.5,Election integrity AI provisions,,,,
P7 Regional Integration,10,R7.6,Disinformation response framework,,,,
P7 Regional Integration,11,R7.7,AI election incidents documented,,,,
P7 Regional Integration,12,R7.8,Platform content moderation,,,,
P7 Regional Integration,13,R7.9,Geneva Dialogue participation,,,,
P7 Regional Integration,14,R7.10,G20/multilateral AI engagement,,,,
P8 Implementation & Impact,5,M8.1,AI governance budget disbursed,,,,
P8 Implementation & Impact,6,M8.2,Health AI regulation,,,,
P8 Implementation & Impact,7,M8.3,Health AI devices approved,,,,
P8 Implementation & Impact,8,M8.4,Government AI system registry,,,,
P8 Implementation & Impact,9,M8.5,AI governance M&E reports,,,,
P8 Implementation & Impact,10,M8.6,Agriculture AI governance,,,,
P8 Implementation & Impact,11,M8.7,Financial services AI governance,,,,
P8 Implementation & Impact,12,M8.8,Education AI governance,,,,
P8 Implementation & Impact,13,M8.9,Measurable governance outcomes,,,,
P8 Implementation & Impact,14,M8.10,WHO AI health guidance adoption,,,,
